roll, pitch, yaw
-4.730196160039533027e+01,8.547224602691186135e+01,-4.637164974424484165e-01
-4.730297753302927788e+01,8.546379244617642712e+01,-8.233856673689297079e-01
-4.729957973047918784e+01,8.545586525613413187e+01,-1.179512057317936291e+00
-4.728427860282844364e+01,8.544995829940171461e+01,-1.532220050977370462e+00
-4.727286668599600006e+01,8.544410258270228553e+01,-1.880469741551865859e+00
-4.726469660266513984e+01,8.543826629426450836e+01,-2.226364689652603701e+00
-4.725522714741607189e+01,8.543209755886451262e+01,-2.610807499858073477e+00
-4.724884540704779567e+01,8.542818255399193106e+01,-2.992510546173364538e+00
-4.723053041019315401e+01,8.542165323055010617e+01,-3.368476920901555260e+00
-4.720250207761126404e+01,8.541586593434050201e+01,-3.740925418695802307e+00
-4.717940302421240517e+01,8.541357454998336607e+01,-4.110884452210576079e+00
-4.716196152479796666e+01,8.541403621374668376e+01,-4.478325831651757127e+00
-4.714288220680970909e+01,8.541096687924083142e+01,-4.846593016637293694e+00
-4.711635133212634940e+01,8.540504419462982355e+01,-5.211395449280032288e+00
-4.709117129177367644e+01,8.539918435264806362e+01,-5.571714586784770162e+00
-4.709147873464472411e+01,8.539271777745436509e+01,-5.927404374089516814e+00
-4.709344040744858972e+01,8.538780001155808463e+01,-6.279536697192347638e+00
-4.708776747982808786e+01,8.538378005638875834e+01,-6.585207556207877566e+00
-4.707707487323332884e+01,8.537983029026003123e+01,-6.886875924027993534e+00
-4.707087861550442653e+01,8.537402060004241378e+01,-7.185595660966073162e+00
-4.706244945642244915e+01,8.536648619473973554e+01,-7.481419488278450380e+00
-4.704485537759283176e+01,8.535739249169287746e+01,-7.774452948550642617e+00
-4.703983343762275382e+01,8.534882678938802769e+01,-8.065666830751014871e+00
-4.703335022355939543e+01,8.532993967222782317e+01,-8.431621119640999140e+00
-4.705430208096369427e+01,8.530898441608950122e+01,-8.795893420951074404e+00
-4.711424157771556764e+01,8.534022487976258731e+01,-9.136185113565279181e+00
-4.699470166174680941e+01,8.538467613086542940e+01,-9.471785271333354572e+00
-4.676882331272410198e+01,8.542699181819864407e+01,-9.804584670885688524e+00
-4.657691418190272259e+01,8.546250680328218152e+01,-1.012408979312335688e+01
-4.698038807581686882e+01,8.548352251429915327e+01,-1.045390578766544287e+01
-4.727630844952690836e+01,8.548670684760189431e+01,-1.078851942952134557e+01
-4.720996370560987998e+01,8.546317812898921318e+01,-1.113392055310426976e+01
-4.706983806324316078e+01,8.543491588543921011e+01,-1.147703551675133937e+01
-4.697896574448700591e+01,8.543997530272498864e+01,-1.180386340682765045e+01
-4.688359978310464982e+01,8.547165357445376799e+01,-1.206212923769682810e+01
-4.680467837709969103e+01,8.551818318668739494e+01,-1.231208152777500509e+01
-4.671044382086066804e+01,8.557053689866664570e+01,-1.255287135534866927e+01
-4.666460595086727636e+01,8.561922030348043222e+01,-1.277898624132480165e+01
-4.662760878436137801e+01,8.565799926174477719e+01,-1.299782563428734505e+01
-4.651119710850155542e+01,8.566837499255977662e+01,-1.323000723056374994e+01
-4.645428603876007401e+01,8.567551582208884042e+01,-1.358946901903562399e+01
-4.640235361273616377e+01,8.569234205920326986e+01,-1.394361345269952857e+01
-4.628094361817929325e+01,8.571290230984585889e+01,-1.428986842936288326e+01
-4.622821264210979564e+01,8.573610360395053931e+01,-1.462676478986416839e+01
-4.619232945960477110e+01,8.577983244508700977e+01,-1.494382608409477697e+01
-4.608066363295360901e+01,8.583758019554329621e+01,-1.525116905212254181e+01
-4.587324136392732044e+01,8.591152178112101012e+01,-1.540961717970730405e+01
-4.541663603088048262e+01,8.600825989284832929e+01,-1.557688858091457718e+01
-4.494419762705587829e+01,8.610551651575315191e+01,-1.575299413690548178e+01
-4.453191125204661915e+01,8.619563606485348828e+01,-1.594142265170376405e+01
-4.417399713273957929e+01,8.630999389271048017e+01,-1.614147377954511597e+01
-4.385825354505693952e+01,8.643239961267234150e+01,-1.635833582681181042e+01
-4.358489450270345600e+01,8.658646048279011609e+01,-1.657374244846431210e+01
-4.331278343884766713e+01,8.678238706193066321e+01,-1.677926603832643693e+01
-4.304454623835066229e+01,8.699692906244679591e+01,-1.697910979043871293e+01
-4.278019416723509494e+01,8.725678615320299514e+01,-1.717842782097494947e+01
-4.250997747773542557e+01,8.758778408600430510e+01,-1.736749142770601750e+01
-4.217231315034392480e+01,8.798266972899443772e+01,-1.757269120782997618e+01
-4.186410082970650848e+01,8.841814519719734733e+01,-1.780610178784577258e+01
-4.169344568575289856e+01,8.892543447062841722e+01,-1.808719808008229535e+01
-4.150966252153416036e+01,8.953628792385322299e+01,-1.840914132293886496e+01
-4.125463315505501072e+01,9.018857681360822198e+01,-1.874071590004499299e+01
-4.100024378343732678e+01,9.088558525348695127e+01,-1.907050327219894470e+01
-4.080103028918814090e+01,9.158283776193206904e+01,-1.941458788443605243e+01
-4.068420607846513093e+01,9.222803754397450859e+01,-1.982347418766005376e+01
-4.063839679192354737e+01,9.283544168154924137e+01,-2.024084444899533963e+01
-4.058123281298101404e+01,9.334320845259979649e+01,-2.066799210355978644e+01
-4.054942955970858520e+01,9.375662607812176930e+01,-2.104300294122839787e+01
-4.039183761411224793e+01,9.419261528188617660e+01,-2.142430160569473685e+01
-4.010261376632856667e+01,9.465333941528471939e+01,-2.186897513506158575e+01
-3.979433059082897017e+01,9.522347622577933635e+01,-2.231470643211200411e+01
-3.948913024708436836e+01,9.578791166816900216e+01,-2.275633124500976123e+01
