roll, pitch, yaw
-1.181115903323422174e+02,7.993163170379769156e+01,1.314671440312081385e+00
-1.180990040314254514e+02,7.991783766624139673e+01,2.616225633786967819e+00
-1.180770484451818021e+02,7.990583382076043506e+01,3.487798583216149328e+00
-1.180527459951513691e+02,7.989352824102019213e+01,4.350655803151038725e+00
-1.180334678903705452e+02,7.988182096298996271e+01,5.204884450886579472e+00
-1.180202419902574036e+02,7.987113190122913409e+01,6.050570812144765220e+00
-1.180098123688184018e+02,7.986356822299110547e+01,6.887800309790367947e+00
-1.180049161724733437e+02,7.985543481811966160e+01,7.474844505451181398e+00
-1.179990364239498888e+02,7.984642847155663503e+01,8.076822916192934798e+00
-1.179912156038018480e+02,7.983820458835712941e+01,8.672718200097030206e+00
-1.179782706762757698e+02,7.983060484961080761e+01,9.262563413942787705e+00
-1.179675938503210233e+02,7.982343750784151837e+01,9.845300507269749701e+00
-1.179590899615421904e+02,7.981578095081141555e+01,1.042214417604456855e+01
-1.179553485116965845e+02,7.980877272286393520e+01,1.143053212445185807e+01
-1.179466690181451867e+02,7.980150111657246725e+01,1.242887440370664898e+01
-1.179348531711439847e+02,7.979467131821233750e+01,1.341842322465528348e+01
-1.179275402789005085e+02,7.978990332004569552e+01,1.439584643556970711e+01
-1.179114733202320338e+02,7.978227784156798919e+01,1.536470917241370593e+01
-1.178955091352226248e+02,7.977180640026534775e+01,1.650010384576025402e+01
-1.178909762723837389e+02,7.976112916655023355e+01,1.762300011105634212e+01
-1.178923474870751988e+02,7.975361622747827539e+01,1.873349135539289989e+01
-1.178831204200576508e+02,7.975070706987068547e+01,1.983520081914910449e+01
-1.178796670169662804e+02,7.975508611642409562e+01,2.092480672232180439e+01
-1.178852011329290264e+02,7.977225010867987010e+01,2.200354948694836210e+01
-1.178885303438943737e+02,7.980427304321420934e+01,2.301814143163095849e+01
-1.178888476426180887e+02,7.985109080104760437e+01,2.401717005997848986e+01
-1.178843444599404222e+02,7.990375433905728642e+01,2.500311126519491367e+01
-1.178801266330773814e+02,7.994859143819353164e+01,2.597945051867694133e+01
-1.178745080592935324e+02,7.997390538203070776e+01,2.695637997922588625e+01
-1.178867381531842398e+02,7.998615604648396982e+01,2.799052080144559795e+01
-1.179008775702706089e+02,7.999229443095173053e+01,2.901992708307706081e+01
-1.178895256187863509e+02,7.998643625952963987e+01,3.004813777911939354e+01
-1.178587566569244700e+02,7.997313637150374177e+01,3.106845148617097152e+01
-1.178001737240880544e+02,7.996124196606960766e+01,3.207433356687296566e+01
-1.177022773865017200e+02,7.995511515217349086e+01,3.306847023256553797e+01
-1.175899085498135150e+02,7.995006376001518333e+01,3.363407324385025987e+01
-1.175079338902720281e+02,7.993920652341849120e+01,3.419281898314119417e+01
-1.174446870617992573e+02,7.991604688387677413e+01,3.474928905664517487e+01
-1.173965621409359699e+02,7.988173404971497860e+01,3.531141697775834842e+01
-1.173551044726378052e+02,7.983605523114789548e+01,3.588025737807674886e+01
-1.173206671794299751e+02,7.979128796607986374e+01,3.647694226196651357e+01
-1.172976833668814720e+02,7.975166837271562770e+01,3.707105748857415506e+01
-1.172870239760531916e+02,7.972958956692976074e+01,3.765470197417334930e+01
-1.172618114679149528e+02,7.970737582601672955e+01,3.822911282335979166e+01
-1.172372180393467005e+02,7.967529603448011244e+01,3.879664716686876602e+01
-1.171909173610747814e+02,7.962359649148126550e+01,3.937096253598414819e+01
-1.171340772182610124e+02,7.956416764799989494e+01,4.034380049119567957e+01
-1.170472880210264321e+02,7.949975995523300298e+01,4.132316187531831986e+01
-1.169306010373070990e+02,7.943744536352110686e+01,4.230583345249095828e+01
-1.168086417959281391e+02,7.937383132225238569e+01,4.328276175994135144e+01
-1.167155474464547638e+02,7.931152304764523819e+01,4.425604524620912628e+01
-1.166297951114181899e+02,7.924414185252226162e+01,4.524843157530217042e+01
-1.165410507735087720e+02,7.916349271992049808e+01,4.623345951603519666e+01
-1.164576622369168177e+02,7.906430631291023303e+01,4.721106547798002850e+01
-1.163758622064883070e+02,7.896518863295038670e+01,4.817678119418445704e+01
-1.162741818109806502e+02,7.888998688564453232e+01,4.911288912723566824e+01
-1.161690499114715607e+02,7.883078451898103367e+01,4.998443310380967119e+01
-1.160963580714586669e+02,7.877056036274085216e+01,5.082814736348445450e+01
-1.160747985141112224e+02,7.869994326207944368e+01,5.166430287944645272e+01
-1.160666630692272321e+02,7.860601695866824912e+01,5.252333234189769939e+01
-1.160462100473218214e+02,7.849163624939596673e+01,5.341403141086249917e+01
-1.160379081390171194e+02,7.837008115983515211e+01,5.431218381220031688e+01
-1.160940700372770067e+02,7.822690909225703138e+01,5.528882973561891134e+01
-1.162343105293378471e+02,7.808760473449564188e+01,5.623926197518434833e+01
-1.164239229440886163e+02,7.795914434726891784e+01,5.715222158533857311e+01
-1.166540777219603058e+02,7.780552352959931284e+01,5.805261752200491543e+01
-1.169130418707419210e+02,7.763595731883258111e+01,5.892787509602535323e+01
-1.171691140793942054e+02,7.747707046702254274e+01,5.965875505679321122e+01
-1.173929425420918875e+02,7.735436994950990197e+01,6.036886705658297814e+01
-1.175438921933991594e+02,7.723834270933132018e+01,6.106353306739080722e+01
-1.176619727285638817e+02,7.714885686120335606e+01,6.173533214382459988e+01
-1.177267532439083055e+02,7.705973277147079159e+01,6.239734422548889370e+01
-1.177128798987596809e+02,7.696324776429337078e+01,6.305474045680060158e+01
-1.177284245928574080e+02,7.682002973649373700e+01,6.371305768825735782e+01
-1.176988307881985349e+02,7.669881715231686314e+01,6.435774386701767469e+01
-1.174726265249504991e+02,7.661314088379774034e+01,6.498031013872372341e+01
-1.172095805739341472e+02,7.655281601331590480e+01,6.559042124996065581e+01
-1.169508939410781920e+02,7.652334308282236464e+01,6.618604731848661515e+01
-1.166137548085528266e+02,7.650939413768067254e+01,6.675895413632876796e+01
-1.162198901541117806e+02,7.650025905081530198e+01,6.746610496264374035e+01
-1.158325388267684275e+02,7.645342613382153729e+01,6.815608007295472248e+01
-1.155320884781109498e+02,7.638428597348818982e+01,6.883738754518438441e+01
-1.153495278464100124e+02,7.630290552851134578e+01,6.951941472912638176e+01
-1.152205225809542242e+02,7.622124530008942145e+01,7.020178066505881986e+01
-1.151449214462094659e+02,7.613840416005955092e+01,7.071564100793544583e+01
-1.150600112107005373e+02,7.606969184033037834e+01,7.122138382416581237e+01
-1.149587383303857848e+02,7.601843040309876187e+01,7.170230475495041844e+01
-1.148452100558796758e+02,7.596281820835305609e+01,7.216553171137222478e+01
-1.147027017087199852e+02,7.587850987752854337e+01,7.260004588583126406e+01
-1.145751340216915963e+02,7.578160584630467156e+01,7.299917299974470097e+01
-1.144579199917978514e+02,7.567211307896518235e+01,7.346844823154778226e+01
-1.143625228004975725e+02,7.552872391908385907e+01,7.391150901194230016e+01
-1.142895570365655260e+02,7.532630275682919319e+01,7.434056659471984574e+01
-1.142389926272572609e+02,7.509839491562370029e+01,7.476336304566315505e+01
-1.142192091631855249e+02,7.482608085890255722e+01,7.518512741838455327e+01
-1.142288875951386871e+02,7.452836708133010291e+01,7.549108866371268789e+01
-1.142269849063679175e+02,7.427395656837563820e+01,7.577915852160666077e+01
-1.141120225533919239e+02,7.406835762433675541e+01,7.603799004706971232e+01
-1.138498984805193288e+02,7.392870164926242182e+01,7.626684203987593946e+01
-1.135413233184471977e+02,7.384037242839025339e+01,7.646544079492079504e+01
-1.132262455343175986e+02,7.377367524791675635e+01,7.663312886233261167e+01
-1.129372311962295612e+02,7.370131703754718444e+01,7.685481347853932732e+01
-1.127165353282293125e+02,7.359726405926325299e+01,7.707088290954936838e+01
-1.124848766560284901e+02,7.346927958226038413e+01,7.729710902799949679e+01
-1.122478738345210303e+02,7.335381349243496629e+01,7.754709420021166011e+01
-1.120683776758658610e+02,7.325899213382247410e+01,7.781375862478357419e+01
-1.119266042087616029e+02,7.317771960316407842e+01,7.808444707657577055e+01
-1.118262812014807537e+02,7.312292556346477568e+01,7.844358603707591726e+01
-1.117247710758994117e+02,7.307507733578174225e+01,7.880874823235764381e+01
-1.117421557183901086e+02,7.305107022720767418e+01,7.918242025290231823e+01
-1.119083339999268532e+02,7.304943940146978321e+01,7.953623382787401397e+01
-1.121614374987051690e+02,7.305751817037310047e+01,7.986860492678697199e+01
-1.126150322798445558e+02,7.309323975581074251e+01,8.007208738228440836e+01
-1.131270734599738432e+02,7.314153226382418893e+01,8.027248124932563655e+01
-1.136356802692801296e+02,7.323361814261996017e+01,8.047354138697177461e+01
-1.139868743058813862e+02,7.342383735305396897e+01,8.067800600462142313e+01
-1.142401241772636524e+02,7.371487316239712584e+01,8.087116381523183861e+01
-1.144502609291381106e+02,7.407877553881706945e+01,8.103792389031552545e+01
-1.146493492657491942e+02,7.446835501699437998e+01,8.132584475706512706e+01
-1.149086511578107945e+02,7.492491880602416643e+01,8.157577198983621258e+01
-1.151845425006303287e+02,7.540518060826190094e+01,8.182554217977079247e+01
-1.154442562768574447e+02,7.587291229379897572e+01,8.211248892693568280e+01
-1.156596828448397218e+02,7.633516319680113327e+01,8.246129404599197699e+01
-1.159037891555853150e+02,7.681870921259056217e+01,8.288720656176624857e+01
-1.161740124709883872e+02,7.735811502628263270e+01,8.329454497339237662e+01
-1.164102423088220064e+02,7.805878851407892682e+01,8.374758818074650435e+01
-1.166528839372451927e+02,7.886047494034774274e+01,8.421022648654796683e+01
-1.170519667641386832e+02,7.988204645535240900e+01,8.468180818519681452e+01
-1.175621057420705426e+02,8.100277026245193213e+01,8.516336974195287723e+01
-1.180859944802190995e+02,8.233823699155496456e+01,8.544949457170309870e+01
-1.186441361553544453e+02,8.387446725803216907e+01,8.581645228879736464e+01
-1.193655857395168027e+02,8.550668636242674836e+01,8.627571870578113078e+01
-1.202194998586749080e+02,8.725122783765540646e+01,8.684444093507958939e+01
-1.208953744041741913e+02,8.911878423786836834e+01,8.745447020455451081e+01
-1.208548365481314733e+02,9.100600102924720147e+01,8.813810346238139459e+01
-1.207232929045123910e+02,9.276642252390784904e+01,8.867454044740588870e+01
-1.199878046924076074e+02,9.434870422589753503e+01,8.928977445067688734e+01
-1.191767951028377581e+02,9.572578518827300798e+01,8.999555361187006497e+01
-1.192908426115144636e+02,9.656769708740850433e+01,9.087134507643483516e+01
-1.194953672468733288e+02,9.723414202089462322e+01,9.180112077481295785e+01
-1.200236002018074686e+02,9.770042779147875933e+01,9.277280978426155400e+01
-1.206911771769421904e+02,9.805350350738473253e+01,9.364598473174187632e+01
-1.213977245429014431e+02,9.836225108050770416e+01,9.451149511982511342e+01
-1.220405493354526243e+02,9.868647520327019151e+01,9.539684483652507652e+01
-1.229151440848852133e+02,9.902132736160194781e+01,9.632005639495564253e+01
-1.238699396921025624e+02,9.923912677753060052e+01,9.725900458942648186e+01
-1.246277375638398155e+02,9.932928856878255885e+01,9.813045664933952139e+01
-1.250663494984651720e+02,9.933950946207569643e+01,9.898028668543894071e+01
-1.253340308568578934e+02,9.933255645733287054e+01,9.979739763092082683e+01
-1.254353650372874256e+02,9.928091178033557185e+01,1.005750006818654185e+02
-1.254825694107776002e+02,9.914534595986604870e+01,1.013250019579115104e+02
-1.257121857772962272e+02,9.887713539392981943e+01,1.020050426632902685e+02
-1.261569170358408201e+02,9.845602981051604274e+01,1.023037824037232184e+02
-1.265876799338039547e+02,9.795752756874200884e+01,1.025315014732223631e+02
-1.269621180714536450e+02,9.739921864681630836e+01,1.026375056178562488e+02
-1.272334397952834024e+02,9.681961574767697698e+01,1.026933782044511219e+02
-1.273336379526043913e+02,9.617714489529743105e+01,1.026713071976639924e+02
-1.272265524323539694e+02,9.545798536046270044e+01,1.026056544064658027e+02
-1.269426754611800305e+02,9.469685856405513391e+01,1.024679127459292545e+02
-1.266118476407221181e+02,9.385147340755827372e+01,1.022581325058348511e+02
-1.264429993181257714e+02,9.283985653264305427e+01,1.019690906798908685e+02
-1.264061251936853409e+02,9.171435812902244322e+01,1.015954656249648167e+02
-1.262571514475650503e+02,9.065460273713571837e+01,1.014213143024029051e+02
-1.259483988454185663e+02,8.974741780023335025e+01,1.012229462858613545e+02
-1.258013439573157228e+02,8.884642835269150396e+01,1.010400262138777521e+02
-1.259775228793487969e+02,8.778272147496596745e+01,1.009524194896445124e+02
-1.262522434211875151e+02,8.672718943772810007e+01,1.009420454403554999e+02
-1.265674962459004433e+02,8.576680346912830544e+01,1.009196731065912189e+02
-1.266125374055224171e+02,8.488729503711795132e+01,1.010207469157850966e+02
-1.266559666337424517e+02,8.403757700349973447e+01,1.011732652781166024e+02
-1.267937560142026427e+02,8.325220299092326570e+01,1.013296959016579990e+02
-1.269943189198039306e+02,8.268367124794878009e+01,1.014128451658025369e+02
-1.273576528089373880e+02,8.239064255196694830e+01,1.013682356646670257e+02
-1.267175720879864826e+02,8.219637886283422290e+01,1.013315897708412621e+02
-1.241402891382493863e+02,8.140451299979791600e+01,1.011382216807473640e+02
-1.226031200188644021e+02,8.055516925125492378e+01,1.006669924045421851e+02
-1.219470781591281821e+02,7.960993465692058635e+01,1.001274863569104809e+02
-1.205612349802485568e+02,7.855569977265575687e+01,9.954474850144755749e+01
-1.193203117957813362e+02,7.744884543221834861e+01,9.892876644496409710e+01
-1.184311226057099162e+02,7.637364934465666977e+01,9.826164734875452211e+01
-1.176597241854897362e+02,7.532693956503561594e+01,9.761232942338973828e+01
-1.169960657890747200e+02,7.434086084318316523e+01,9.702869153163764793e+01
-1.163877110035677873e+02,7.340022159151830294e+01,9.653649211120452378e+01
-1.159198433510378834e+02,7.247399878432720755e+01,9.612473929128853456e+01
-1.154482632260110506e+02,7.159816824786803124e+01,9.586573568467170503e+01
-1.149815043130936658e+02,7.078666845111084172e+01,9.556572587611798042e+01
-1.148862278552293219e+02,7.022241010253216587e+01,9.517640078326627417e+01
-1.149686183079849258e+02,6.966918360963173029e+01,9.479727399073348693e+01
-1.153792068397177530e+02,6.896853946562207227e+01,9.460129578239528314e+01
-1.158155985169866682e+02,6.830904321295260218e+01,9.450118496449667305e+01
-1.161940472856992557e+02,6.775193560172772322e+01,9.444641945524692517e+01
-1.164540274475814527e+02,6.725442545443146969e+01,9.428864930133666178e+01
-1.165483854059283146e+02,6.675620380783092855e+01,9.402318573023946158e+01
-1.166367215855486421e+02,6.623870102101609803e+01,9.373135296433927977e+01
-1.166470739798451888e+02,6.574521689408790337e+01,9.339885962509609385e+01
-1.166822783709370981e+02,6.529333378733355175e+01,9.303223732662199552e+01
