Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
0, -0.966552734375, -0.224609375, -0.0556640625, 0.7324218153953552, -0.1831054538488388, 0.1220703050494194, 28.0, 13.0, -30.0 
18, -0.968017578125, -0.22509765625, -0.056396484375, 0.6103515625, -0.30517578125, -0.0610351525247097, 28.0, 13.0, -30.0 
37, -0.9681396484375, -0.226806640625, -0.05615234375, 0.3662109076976776, -0.3662109076976776, 0.0, 28.0, 13.0, -30.0 
55, -0.9678955078125, -0.2252197265625, -0.0565185546875, 0.3662109076976776, -0.3662109076976776, 0.0, 28.0, 13.0, -30.0 
74, -0.96826171875, -0.2239990234375, -0.0535888671875, 0.54931640625, -0.30517578125, 0.0, 28.0, 13.0, -30.0 
92, -0.9698486328125, -0.222412109375, -0.0556640625, 0.4882812201976776, -0.2441406100988388, 0.0, 28.0, 13.0, -30.0 
110, -0.9698486328125, -0.222412109375, -0.05712890625, 0.4882812201976776, -0.1831054538488388, 0.0610351525247097, 30.0, 14.0, -25.0 
129, -0.9697265625, -0.222412109375, -0.0579833984375, 0.4882812201976776, -0.1831054538488388, 0.0, 30.0, 14.0, -25.0 
144, -0.9688720703125, -0.2218017578125, -0.0557861328125, 0.54931640625, -0.1831054538488388, -0.0610351525247097, 30.0, 14.0, -25.0 
155, -0.966552734375, -0.2227783203125, -0.0538330078125, 0.54931640625, -0.1831054538488388, -0.0610351525247097, 30.0, 14.0, -25.0 
171, -0.9664306640625, -0.223388671875, -0.0535888671875, 0.6713866591453552, -0.1220703050494194, 0.0, 30.0, 14.0, -25.0 
192, -0.9661865234375, -0.224365234375, -0.0535888671875, 0.6103515625, -0.2441406100988388, 0.0, 30.0, 14.0, -25.0 
213, -0.9674072265625, -0.2257080078125, -0.052734375, 0.4882812201976776, -0.3662109076976776, 0.0610351525247097, 30.0, 11.0, -26.0 
234, -0.9693603515625, -0.2235107421875, -0.056640625, 0.2441406100988388, -0.4882812201976776, 0.1831054538488388, 30.0, 11.0, -26.0 
248, -0.9700927734375, -0.2218017578125, -0.0567626953125, 0.1831054538488388, -0.4272460639476776, 0.1220703050494194, 30.0, 11.0, -26.0 
263, -0.97021484375, -0.2216796875, -0.0562744140625, 0.1220703050494194, -0.4272460639476776, 0.0, 30.0, 11.0, -26.0 
285, -0.966796875, -0.221923828125, -0.0548095703125, 0.1831054538488388, -0.4272460639476776, -0.0610351525247097, 30.0, 11.0, -26.0 
302, -0.9664306640625, -0.22314453125, -0.0557861328125, 0.2441406100988388, -0.4272460639476776, 0.0, 28.0, 12.0, -32.0 
323, -0.970947265625, -0.223876953125, -0.056396484375, 0.4882812201976776, -0.6103515625, 0.1831054538488388, 28.0, 12.0, -32.0 
340, -0.9683837890625, -0.2236328125, -0.0567626953125, 0.4882812201976776, -0.54931640625, 0.1831054538488388, 28.0, 12.0, -32.0 
360, -0.9671630859375, -0.222900390625, -0.0552978515625, 0.2441406100988388, -0.4882812201976776, 0.1831054538488388, 28.0, 12.0, -32.0 
378, -0.9683837890625, -0.2208251953125, -0.052978515625, 0.1220703050494194, -0.6103515625, 0.0610351525247097, 28.0, 12.0, -32.0 
417, -0.9700927734375, -0.2265625, -0.0565185546875, 0.1220703050494194, -0.6103515625, -0.1220703050494194, 29.0, 11.0, -30.0 
438, -0.9683837890625, -0.22509765625, -0.056640625, 0.1831054538488388, -0.4272460639476776, -0.1831054538488388, 29.0, 11.0, -30.0 
455, -0.9681396484375, -0.2205810546875, -0.0567626953125, 0.6103515625, -0.54931640625, 0.0, 29.0, 11.0, -30.0 
475, -0.9676513671875, -0.219970703125, -0.0587158203125, 0.9155272841453552, -0.54931640625, 0.1831054538488388, 29.0, 11.0, -30.0 
491, -0.968994140625, -0.22509765625, -0.0576171875, 0.9765624403953552, -0.4882812201976776, 0.1220703050494194, 29.0, 11.0, -30.0 
510, -0.9700927734375, -0.227294921875, -0.0555419921875, 1.0986328125, -0.2441406100988388, -0.1220703050494194, 30.0, 12.0, -28.0 
528, -0.96875, -0.2259521484375, -0.0548095703125, 1.0986328125, -0.1220703050494194, -0.2441406100988388, 30.0, 12.0, -28.0 
549, -0.9652099609375, -0.2230224609375, -0.052978515625, 0.7324218153953552, -0.3662109076976776, 0.0, 30.0, 12.0, -28.0 
572, -0.9658203125, -0.222412109375, -0.05322265625, 0.6103515625, -0.4882812201976776, 0.1220703050494194, 30.0, 12.0, -28.0 
590, -0.9661865234375, -0.221923828125, -0.0548095703125, 0.4882812201976776, -0.7934569716453552, 0.2441406100988388, 30.0, 12.0, -28.0 
611, -0.967529296875, -0.221923828125, -0.056396484375, 0.30517578125, -0.7324218153953552, 0.1831054538488388, 27.0, 13.0, -29.0 
632, -0.970458984375, -0.2230224609375, -0.0537109375, 0.1220703050494194, -0.7324218153953552, 0.0610351525247097, 27.0, 13.0, -29.0 
648, -0.972900390625, -0.22412109375, -0.05224609375, 0.1220703050494194, -0.6103515625, 0.0, 27.0, 13.0, -29.0 
669, -0.9754638671875, -0.2236328125, -0.0528564453125, 0.2441406100988388, -0.54931640625, -0.0610351525247097, 27.0, 13.0, -29.0 
686, -0.975341796875, -0.22119140625, -0.056884765625, 0.6713866591453552, -0.30517578125, -0.30517578125, 27.0, 13.0, -29.0 
704, -0.97216796875, -0.219970703125, -0.0634765625, 0.7934569716453552, 0.0610351525247097, -0.4882812201976776, 27.0, 12.0, -26.0 
725, -0.9715576171875, -0.2127685546875, -0.06787109375, 0.54931640625, 0.0610351525247097, -0.4882812201976776, 27.0, 12.0, -26.0 
743, -0.968505859375, -0.20947265625, -0.0634765625, 0.30517578125, -0.54931640625, -0.1220703050494194, 27.0, 12.0, -26.0 
764, -0.96875, -0.212890625, -0.0535888671875, 0.30517578125, -0.7934569716453552, 0.0610351525247097, 27.0, 12.0, -26.0 
783, -0.9637451171875, -0.2132568359375, -0.044921875, 0.6713866591453552, -0.3662109076976776, 0.0610351525247097, 27.0, 12.0, -26.0 
802, -0.9656982421875, -0.2132568359375, -0.046630859375, 1.5258787870407104, -0.30517578125, 0.1831054538488388, 31.0, 13.0, -31.0 
817, -0.9752197265625, -0.2177734375, -0.0582275390625, 1.8920897245407104, -0.3662109076976776, 0.3662109076976776, 31.0, 13.0, -31.0 
839, -0.979736328125, -0.217041015625, -0.0626220703125, 2.13623046875, -0.54931640625, 0.6103515625, 31.0, 13.0, -31.0 
856, -0.9747314453125, -0.20947265625, -0.064453125, 2.38037109375, -0.7324218153953552, 0.6713866591453552, 31.0, 13.0, -31.0 
874, -0.9737548828125, -0.2088623046875, -0.061767578125, 1.5258787870407104, -0.7324218153953552, 0.2441406100988388, 31.0, 13.0, -31.0 
893, -0.97998046875, -0.2127685546875, -0.052001953125, 0.54931640625, -1.4038084745407104, 0.30517578125, 31.0, 13.0, -31.0 
910, -0.978515625, -0.2117919921875, -0.0445556640625, 0.4882812201976776, -2.25830078125, 0.6103515625, 26.0, 13.0, -26.0 
928, -0.9849853515625, -0.2093505859375, -0.047607421875, 2.807616949081421, -4.82177734375, 2.01416015625, 26.0, 13.0, -26.0 
950, -0.9769287109375, -0.21240234375, -0.04833984375, 3.601073980331421, -5.126952648162842, 2.44140625, 26.0, 13.0, -26.0 
967, -0.956787109375, -0.2203369140625, -0.0487060546875, 2.624511480331421, -4.150390625, 2.624511480331421, 26.0, 13.0, -26.0 
987, -0.9537353515625, -0.2208251953125, -0.044921875, -0.9765624403953552, -2.38037109375, 1.8310545682907104, 26.0, 13.0, -26.0 
1007, -0.9534912109375, -0.22607421875, -0.027587890625, -3.417968511581421, -1.4038084745407104, 1.4038084745407104, 29.0, 14.0, -27.0 
1024, -0.9613037109375, -0.2313232421875, -0.0303955078125, -4.2724609375, -1.4038084745407104, 2.3193359375, 29.0, 14.0, -27.0 
1043, -0.9708251953125, -0.2220458984375, -0.0439453125, -4.21142578125, -1.8310545682907104, 3.662109136581421, 29.0, 14.0, -27.0 
